"","GSM2183532_NTak_LBOV_Ext_Biopsy_ATR10_HG133_2-a1.CEL.gz","GSM2183533_NTak_LBOV_Ext_Biopsy_ATR11_HG133_2-a1.CEL.gz","GSM2183534_NTak_LBOV_Ext_Biopsy_ATR18_HG133_2-a1_2.CEL.gz","GSM2183535_NTak_LBOV_Ext_Biopsy_ATR9_HG133_2-a1.CEL.gz","GSM2183536_NTak_LBOV_Ext_Biopsy_ATR9_2_HG133_2-a1.CEL.gz","GSM2183537_NTak_LBOV_Ext_Biopsy_2005scoop30_HG133_2-a1.CEL.gz","GSM2183538_NTak_LBOV_Ext_Biopsy_2005scoop37_HG133_2-a1.CEL.gz","GSM2183539_NTak_LBOV_Ext_Biopsy_2000HSOA10_HG133_2-a1.CEL.gz","GSM2183540_NTak_LBOV_Ext_Biopsy_2003OA11_HG133_2-a1.CEL.gz","GSM2183541_NTak_LBOV_Ext_Biopsy_2003OA12_HG133_2-a1.CEL.gz","GSM2183542_NTak_LBOV_Ext_Biopsy_2003OA17_HG133_2-a1.CEL.gz","GSM2183543_NTak_LBOV_Ext_Biopsy_2003OA18_HG133_2-a1.CEL.gz","GSM2183544_NTak_LBOV_Ext_Biopsy_2005scoop32_HG133_2-a1.CEL.gz","GSM2183545_NTak_LBOV_Ext_Biopsy_2005scoop36_HG133_2-a1.CEL.gz","GSM2183546_NTak_LBOV_Ext_Biopsy_2006scoop48_HG133_2-a1.CEL.gz","GSM2183547_NTak_LBOV_Ext_Biopsy_LUMC3_HG133_2-a1.CEL.gz","GSM2183548_NTak_LBOV_Ext_Biopsy_LUMC59_HG133_2-a1.CEL.gz"
"1552295_a_at",4.85315130946052,5.5683770866058,4.69042547758292,5.05873258676338,5.10948732778554,4.8810514956805,4.97237032932477,4.85448324175075,5.48075521459989,5.41577548507918,5.27794369773335,5.77588446169738,5.0095657680478,4.82336249047983,4.97750913153058,5.88877999318456,5.96269668830494
"1552296_at",3.40979798658385,3.13508343937367,3.3647481622033,3.79406714229865,3.40192528792893,3.44587786983346,3.20424352776377,3.59198828321393,3.37582132460694,3.23159248100035,3.56797893488339,3.16401138824543,3.40687595579224,3.79910975832386,3.27453911316838,3.36677501664688,3.65010720780097
"1552299_at",4.01323772004244,3.90634493226945,3.77077409345094,3.88909537494397,3.97267885679252,4.03139886760219,3.89623701704773,3.58852943248676,3.75140475609987,3.85996764004825,3.79619435309182,3.81289818913374,3.85996764004825,3.74443721375011,4.01620438471513,3.63158018224109,3.85996764004825
"1552301_a_at",9.35101461660009,9.74716114890518,6.99005578284227,4.62807295408847,4.60501607609395,4.89163465103732,4.82887304987216,4.9945904257451,4.60843399243044,5.12882041014801,5.34451055533511,4.72539158075543,4.87207200432934,4.43179922771427,9.76318049492499,5.59149132295749,5.48371932293087
"1552302_at",4.06869769935288,3.60647195518376,4.83645428069571,5.37496714268549,5.59165296682134,4.74895074659972,6.04169576708688,4.39596790460533,5.75213030825176,5.61622499994508,5.97701479080269,6.13753827383045,5.85195857886695,5.93567636686578,4.37278444190244,5.81285524574829,4.68753115184436
"1552303_a_at",4.59410603066187,4.12102728952062,4.61132525996933,4.61803260295004,4.68247266667868,4.66207276713027,4.8759401196439,4.34970893577225,5.11462085815648,5.00881197468006,4.81901344399959,5.33987454474247,4.87869077121078,5.11166623437011,4.5412059106898,5.22830090556624,4.53760911561918
"1552304_at",3.64182287434691,3.53693129254046,3.58194607182692,3.93228772783866,4.57889517419991,3.68130425569329,3.62886443945771,3.72221994168118,4.33850999788303,3.72221994168118,3.92099102050873,3.9890714282488,3.53373069270006,3.912229581771,3.66459409977371,3.47894475824482,3.85824547551373
"1552306_at",3.54399510230866,3.56527180914938,4.06971735849755,3.77107563332775,3.74579032782917,3.73346944949645,3.89153610890164,3.76813658751191,3.86567110978383,3.8229310141397,4.04069658923948,4.11221056595581,4.27099926598572,3.52021060966765,4.04033316210143,3.77223971531922,4.15114747013789
"1552307_a_at",4.98566151863332,4.82059792838125,5.1584634186364,4.36101103083073,4.91869611770229,5.27651813142604,5.34560818310684,4.98566151863332,5.17697517357577,5.11754579240151,4.82037718733913,4.98566151863332,4.88177811274063,4.95693983568531,4.83751145447895,5.11862807029542,6.49272881196509
"1552309_a_at",12.8484566614506,12.1206662307508,11.3520144551815,7.24740897065282,7.52876722746028,5.80152126766562,5.91451332765375,9.24479035768259,6.92766654328407,7.45467843711237,6.58351530355626,5.38830110761843,5.45890715244502,5.64050266466319,12.5745968348299,6.3402160847821,7.37017717917244
