"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00146426816048271,0.858764212945106,0.775,0.683,1,"2","AK6"
0.00151983141264465,0.974848352202123,0.376,0.273,1,"2","STK3"
0.00152877543203747,0.829831292013065,0.584,0.513,1,"2","TOB2"
0.00152994334412952,0.456082660024994,0.747,0.688,1,"2","NAMPT"
0.00156538980798635,0.665795824619228,0.348,0.241,1,"2","SMG1P2"
0.00165690101904106,0.447015408479897,0.753,0.638,1,"2","RAPGEF2"
0.00167162766708222,0.555045836265873,0.764,0.709,1,"2","DANCR"
0.00180677596661183,0.440553297004718,0.837,0.754,1,"2","KDM6B"
0.00182857329749772,0.592711769490937,0.669,0.568,1,"2","CUL1"
0.00183021766652996,0.432506978077486,0.798,0.731,1,"2","TPD52L1"
0.00185514636188554,0.843505768182579,0.427,0.337,1,"2","EFNA1"
0.00187681252098619,0.91147687703188,0.59,0.518,1,"2","RMND5A"
0.00188482115784192,0.942379645470733,0.36,0.257,1,"2","PTPN13"
0.00191776398369411,0.936104068676345,0.365,0.263,1,"2","SLC25A44"
0.00193623730013929,1.10270243390588,0.719,0.636,1,"2","GSTM3"
0.00194798336897293,0.799415233180975,0.376,0.274,1,"2","TBCC"
0.00195262842937785,0.30145843334083,0.972,0.952,1,"2","GPRC5A"
0.00199498189687633,0.620846234434431,0.635,0.556,1,"2","SMIM4"
0.00208177435051977,0.51391569827062,0.764,0.743,1,"2","PNISR"
0.00210104125674284,0.879921048714144,0.27,0.178,1,"2","LRIG1"
0.00216338746027645,0.293625182511625,0.978,0.965,1,"2","MORF4L2"
0.00216865648456616,0.414309049199203,0.725,0.667,1,"2","PELO"
0.00221279054177411,0.477411786025564,0.865,0.813,1,"2","KDSR"
0.00229549002982041,0.888879384554101,0.41,0.315,1,"2","PMF1"
0.00231095117982561,0.600463851852044,0.573,0.47,1,"2","RELT"
0.00241002763989793,0.529100926405217,0.848,0.826,1,"2","HSPB8"
0.00241308795406215,0.437384850141432,0.77,0.71,1,"2","CDC37"
0.00246095784358667,1.00349434815562,0.27,0.177,1,"2","ROM1"
0.00249960669783819,1.45238746818386,0.601,0.476,1,"2","SDHA"
0.00251526673669654,0.710412827008518,0.612,0.559,1,"2","SAFB2"
0.00253028585125107,0.36944586074047,0.882,0.838,1,"2","SNRPE"
0.00259834500847504,0.621104882203464,0.657,0.617,1,"2","ACAP2"
0.00272088336198026,0.610871624637644,0.461,0.362,1,"2","CNRIP1"
0.00274881133329257,1.23091062021322,0.376,0.285,1,"2","FBXO32"
0.00275994288469941,0.385325847485332,0.809,0.718,1,"2","SYNE1"
0.00277827512206085,0.330030555770808,0.916,0.887,1,"2","DDX24"
0.00280530621103478,0.449942576953481,0.264,0.171,1,"2","BIRC3"
0.00283761192174585,0.454830307440616,0.663,0.563,1,"2","PPP2R2A"
0.00284319250983742,0.319627239190858,0.949,0.91,1,"2","SF3B6"
0.00286187084022962,0.343314027687654,0.36,0.491,1,"2","MAN1A2"
