"","normal_tissue_1","normal_tissue_2","normal_tissue_3","normal_tissue_4","normal_tissue_5","normal_tissue_6","normal_tissue_7","normal_tissue_8","normal_tissue_9","normal_tissue_10","normal_tissue_11","normal_tissue_12","normal_tissue_13","normal_tissue_14","normal_tissue_15","normal_tissue_16","normal_tissue_17","normal_tissue_18","normal_tissue_19","normal_tissue_20","normal_tissue_21","normal_tissue_22","normal_tissue_23","normal_tissue_24","normal_tissue_25","normal_tissue_26","normal_tissue_27","normal_tissue_28","OA_tissue_1","OA_tissue_2","OA_tissue_3","OA_tissue_4","OA_tissue_5","OA_tissue_6","OA_tissue_7","OA_tissue_8","OA_tissue_9","OA_tissue_10","OA_tissue_11","OA_tissue_12","OA_tissue_13","OA_tissue_14","OA_tissue_15","OA_tissue_16","OA_tissue_17","OA_tissue_18","OA_tissue_19","OA_tissue_20","OA_tissue_21","OA_tissue_22"
"AASDH",7.43817805321512,8.83187085717902,8.47020891011529,8.12412986593158,8.27628381562218,8.51961489932152,8.51806781334057,8.31846030902762,6.82125249304393,7.87877433518196,7.51007639137424,8.39794229213355,7.36886743781499,7.51753467871505,7.22592152847478,7.18846763782396,7.27882134811009,5.47681268434917,8.65116650558494,6.735966745503,7.06312542395273,7.9530164842599,7.00738857944377,6.31108612606983,6.02985095449846,8.81304677306233,8.23433306264795,8.22206286627363,8.64889894320072,8.64404173153874,8.4619836154203,8.61501220903109,8.87903694082139,8.54894788762008,8.74791501873302,6.0350811636157,8.13540821640264,6.10750055981636,7.29545792573646,6.34158759570109,7.97829077228793,8.0887467612072,6.94951958772029,9.52995200709109,8.84436128365536,9.04887315300983,9.03027585344162,9.2787448949933,9.65802454135383,8.72831562934946
"AASDHPPT",7.94035936618115,10.101549588085,8.96515392274733,8.1916776204039,8.94924762314754,8.64278820818215,8.8545888279333,8.35384694318987,7.8406162474788,8.5493023385722,7.96446472652055,8.74764288158205,8.24801683510625,7.61763042188465,9.23925069565878,8.02352038190077,8.08904474354262,8.0325814675498,8.93417717288676,8.94848974236231,8.17714634261451,8.4344660215889,7.69471829710161,7.48447230939425,8.19119177268656,8.77688800825629,8.41301476203103,8.26684619156906,8.86680904889831,8.92166479381155,8.91527677663748,8.75492713461642,8.92608330251635,9.12863360470828,9.00025923989204,6.89053329417061,8.9799474712891,8.77153137285831,8.58796914031032,8.14136842095579,8.03664343570279,8.17961346806131,8.0273063865147,9.46590875935943,9.48259089487577,9.48497214301681,9.66203853752704,9.41099849750306,9.63940385705711,9.0207115284904
"AASS",8.82089481152342,9.96565405446936,10.5276524380069,9.70334948438914,9.95673376590282,10.0493331458401,10.2158021546655,9.51786830655416,8.87429583619757,9.64475208352055,9.09060506485256,10.0171393930734,8.12431754453282,9.34890923287259,9.21254971023237,7.53147488866836,8.71107029787785,7.42766925108257,10.3029666752091,8.7278332374195,7.8805674043756,8.19530200495732,8.37157898503956,7.59453084762743,7.26001789882932,10.7551874265792,9.80153103550134,9.09645345105606,7.76318534026115,10.0531040134677,10.2281260972705,10.4572279027658,10.0452368596365,9.17485498799698,9.98441275460464,7.34994499950763,9.17807657174633,8.6124945159307,7.84439100011243,7.10742585552647,8.82782912112873,8.94495710325253,7.9074286273007,11.019487272451,9.76425979227906,9.95809059922782,10.2749232745162,10.6134301190013,9.65339185832462,10.1714842462977
"AATF",9.85998081180914,8.3652129163863,8.76980960927265,8.92325418910746,9.02308489051229,8.93339643751993,8.6982189496547,9.23962235434449,10.5697850990428,9.46041098719444,9.80891243927402,8.99807176706247,9.44813494918266,8.87072625981635,10.0926663841746,9.78965336759248,9.95861751836139,9.85840693297122,8.5180372233657,9.810072149631,9.7147677523223,9.39552940348078,9.51129614169286,9.61355943430246,9.73089609714942,8.65795821898112,8.58298599748385,8.92901094641343,9.26229314704919,8.61689533747538,8.537119579781,8.46285822435447,8.6031825156698,8.98877114296955,8.54578775235655,9.41781742276889,8.80228078880234,9.19435664933676,9.2058502910442,9.81883503496244,8.87453373634833,8.89054882131326,9.13819618559756,8.4201739619702,8.3901727172057,8.90113465223063,8.74937885198034,8.67290092740024,8.94216401179194,8.40504630719735
"AATK",6.04312614840117,5.3060893085556,4.27858149420398,5.39909332232737,5.43864532307032,4.12375658625783,4.68854607468645,5.19094531891909,5.60883118858651,5.25743454563054,7.48630374869088,5.51145064518461,6.6453760234969,5.62982451264104,7.11456718865156,7.45928247423,6.93741731323649,9.55929722434256,4.41253399293374,6.37586923348887,9.17340379872444,7.34999428113168,6.903202825146,6.56997955932635,10.0223848933337,4.20521672502482,4.73917220997296,5.10778531057528,6.78929249551934,3.63063551437905,4.32176370670084,5.13230683263376,4.78342609952443,3.86948890037704,4.48536439018419,7.78774198333018,5.74673567379791,7.09462023353829,8.73043793902471,8.50743856803029,5.68745137868297,4.55232260079878,7.68235109287345,4.21637487876093,4.66435599009813,4.34969449156665,4.74790676122304,4.10162829297879,3.88854938758471,5.06303615446861
"AB000466",6.6966535109957,6.21585447576807,6.32412154533877,5.99036346813166,6.38255328516654,6.22770725507083,6.20927955234664,5.74493070692621,5.90968780004938,3.10723006930734,3.10723006930734,5.92406587752104,6.15177627045249,6.59304387856826,6.86191278930833,5.40995860648379,5.7518204482229,5.38510564109889,6.51297704397953,5.39766581580371,5.2601092389189,3.10723006930734,5.40045146903861,5.04502158681902,5.03921160450333,6.30632442782126,7.04662629155003,6.5278077119412,5.82822439603475,6.62161949120528,6.33070074206439,6.43574770452846,5.8958282574752,5.92656480843376,6.45840771951557,4.74608287485886,5.83848087619112,5.94541775141495,4.16450890891444,3.10723006930734,5.76033375939146,6.51682019348772,4.48424132762405,5.45330954706703,5.37747916307502,5.7495283963503,5.72875057948202,6.0865039466225,5.46061357644957,6.07838270324639
"AB007962",5.60387603287143,5.47952113635567,7.14020200270176,7.04141732962172,6.73349667406784,7.47616129962966,6.96509710595578,6.35998826285628,3.10723006930734,6.34016746738404,5.46893104275184,6.25320767561516,4.75272968611952,6.81910401338038,3.10723006930734,5.60722121678636,6.08212887579191,4.79297999245907,7.04685828432335,3.10723006930734,4.69363640728046,4.72814000138823,6.14358488422713,5.2143919494637,4.12575236249634,7.66376756112372,7.05300663805919,7.28082272029661,3.10723006930734,6.95917754339575,7.20973350504548,6.96205296148524,7.33170366345048,5.85313661240713,7.19547865727165,4.8063000793507,6.21003366677794,3.10723006930734,5.30567026691466,3.10723006930734,6.33353833952596,6.56007000366067,5.1677633362699,6.94972752320453,5.72811868656077,6.73589617459318,6.10539921681571,6.9602668879993,6.52979555290992,6.98308954614993
"AB073649",5.42954882126809,4.16473785376511,6.08654175691714,5.72648382551772,5.71506779050183,6.05843933257239,6.07194505286815,5.38035383451568,3.10723006930734,5.33783817593629,5.36429961668833,5.47066445828225,3.10723006930734,5.91699124387027,3.10723006930734,3.10723006930734,4.96109753912103,5.38510564109889,6.16885131621473,3.10723006930734,4.05296471649342,3.10723006930734,5.03615648322518,4.42685995321232,3.10723006930734,6.33027319930309,5.88649516839817,6.00649389136188,3.10723006930734,5.83840865161215,5.98095044578617,6.06715444765029,6.2365999299263,5.5907633268421,5.9323196210209,5.02100373755523,4.86470193902067,3.10723006930734,3.10723006930734,3.10723006930734,5.77796414717456,6.26775765079722,5.2001217672203,5.64791443281795,5.80989175303959,5.7495283963503,4.94682011229556,5.33022152971849,5.60014637751753,6.11912923605175
"AB074162",6.00293733816522,5.96628458884135,5.85674630120587,5.61843421497466,5.3479433823999,5.86575169959671,5.8131552793624,5.90367015632608,3.10723006930734,4.62401737196071,5.2104763564549,5.40705216694918,4.30056531245543,5.36020201146731,3.10723006930734,5.17815337029408,3.10723006930734,3.10723006930734,6.50369152761707,3.10723006930734,4.56648037857443,4.28191002271148,5.43531501492803,4.69848048877034,5.23433717984713,5.9508702751947,5.69995611737666,5.99299384779154,3.10723006930734,5.86767993391944,5.49261502182244,6.06715444765029,6.58145635874763,5.87804846971873,6.17765277393641,5.28681717458167,5.9244992060829,5.20221442032221,4.16450890891444,3.10723006930734,5.59050236044659,5.73925828892582,5.02945862630245,6.08973639091565,5.13832329678126,6.17544164057634,5.72875057948202,6.23183966525486,6.48840545380653,5.5061194590406
"AB074166",8.17633672404872,7.51857011041771,8.0325635926038,8.71213552302923,8.12081482214808,9.37082611250231,8.57155156522145,9.08144166210513,3.10723006930734,7.80877856853275,7.47829127291197,8.03636068749331,5.23762047903053,8.61615109132356,7.11456718865156,8.15105453509943,3.10723006930734,6.86620532348715,8.82938706377125,4.33882660005565,5.33406146106576,5.51699108110357,8.02114785973029,6.83867240218599,5.40390962962589,9.03997497841914,9.14657782381246,8.78063341668866,4.4622847419903,9.04740223785365,9.19731011016212,8.65004894994301,8.99940350669892,8.45078969047159,8.9188470988153,6.20846042415358,7.54528542559743,5.62424436600095,4.80105335495358,7.17180093687971,7.91747206368943,8.72891551004383,7.59300075745421,9.12839871699874,8.31017550547043,8.37214724612476,8.49623139359283,9.17625376229641,8.90366315472291,8.84052959804269
