"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.000227373913726397,4.06899252242431,0.25,0.15,1,"3","TRAPPC10"
0.00243578077422864,4.01916990158245,0.333,0.249,1,"3","LOC101927560"
3.04651673587647e-10,3.86316690868285,0.756,0.637,7.35825187216245e-06,"3","HSD3BP4"
1.66932551430869e-05,3.57686730845946,0.446,0.324,0.403192191470977,"3","RBM47"
6.97021438905606e-17,3.40166141908771,0.988,0.981,1.68351588138871e-12,"3","ZNF585B"
1.13058642058613e-09,3.26473905186895,0.28,0.115,2.73070538164167e-05,"3","MMP1"
0.00516377074152701,2.966642817523,0.28,0.204,1,"3","PDP2"
9.36551008245868e-60,3.84627827755263,1,0.591,2.26205165021624e-55,"4","JUN"
9.73809762074743e-21,3.71928824445958,0.261,0.042,2.35204271833913e-16,"4","CCNE2"
2.48343435811107e-40,3.6742832878177,0.721,0.205,5.99823900514566e-36,"4","RPPH1"
9.43860406236331e-46,3.65428838078293,0.874,0.376,2.27970603918261e-41,"4","SNHG12"
5.34408719739925e-18,3.63143981807244,0.36,0.096,1.29075738078784e-13,"4","CCDC173"
8.37286232685348e-41,3.62771734715902,0.856,0.371,2.02229743780492e-36,"4","KLF2"
4.46667612162501e-43,3.60365253078019,0.964,0.607,1.07883628365609e-38,"4","HES1"
3.3191541355837e-59,3.52732013946209,1,0.98,8.01675298367531e-55,"4","FOS"
1.49739347941714e-09,3.50304844500475,0.252,0.086,3.61665447083622e-05,"4","FBXO48"
1.76899496049223e-13,3.33594103908775,0.351,0.119,4.27265352807688e-09,"4","HEY1"
5.74835370293438e-37,5.54237778770409,0.738,0.192,1.38839986986974e-32,"5","HSPA7"
6.26890589855363e-29,5.51194015783291,0.321,0.037,1.51412884167766e-24,"5","HES7"
1.31400578013187e-20,4.43604476073304,0.762,0.351,3.1737181607525e-16,"5","HSPA6"
1.44391708976573e-35,4.30226883552491,0.56,0.105,3.48749294691118e-31,"5","RNU6ATAC"
1.56143984142383e-49,4.10304645664382,0.893,0.27,3.77134564899098e-45,"5","BHLHE41"
7.31196707973472e-29,4.00754726961731,0.702,0.24,1.76605940876833e-24,"5","RMRP"
2.19687262230211e-32,3.88034816555994,0.643,0.169,5.30610644464629e-28,"5","VTRNA1-1"
1.40164624466096e-25,3.6773726754013,0.929,0.716,3.38539617472962e-21,"5","RNU6-2"
1.80841938756487e-21,3.670026892024,0.679,0.27,4.36787534678543e-17,"5","LINC00324"
4.55707958920249e-24,3.50090209007077,0.357,0.059,1.10067143318008e-19,"5","RANBP3L"
3.84138821548579e-24,4.65700101663365,0.889,0.335,9.27810495686282e-20,"6","KRT17"
1.2079190697917e-18,4.47307410482514,0.81,0.343,2.91748692926789e-14,"6","TAC1"
2.08294066820993e-34,4.24653221971501,0.968,0.382,5.03092659592745e-30,"6","IL11"
1.83027206931979e-20,3.89614702903782,0.365,0.057,4.42065612902808e-16,"6","TNP1"
1.21325756731953e-28,3.53949716833224,1,0.646,2.93038100234686e-24,"6","KRT16"
4.92032636496329e-21,3.49658639992438,0.381,0.061,1.18840642692958e-16,"6","BDH1"
1.43223970865016e-42,3.17711108924991,0.587,0.072,3.45928856830272e-38,"6","NPR3"
3.617791388735e-09,3.16670337993559,0.27,0.071,8.73805154121164e-05,"6","LOC79160"
4.01611956938886e-19,3.02433021973237,0.603,0.165,9.7001335959449e-15,"6","WNT16"
9.4498535876051e-15,2.92002806987363,0.444,0.118,2.28242313701426e-10,"6","DUSP4"
1.34140956292517e-20,4.43578175340735,0.552,0.137,3.23990651733316e-16,"7","AGR2"
2.41908131547161e-21,3.77754546666947,0.276,0.029,5.84280710125857e-17,"7","FLJ41200"
7.15570954883243e-16,3.77167334624811,0.259,0.036,1.7283185273295e-11,"7","BLM"
4.63486528458235e-35,3.7401228720231,0.69,0.13,1.11945901218517e-30,"7","SPOCK3"
2.55403130941502e-15,3.62850407941093,0.31,0.054,6.1687518216301e-11,"7","NXPE2"
3.39738733138269e-14,3.3388867275996,0.362,0.077,8.20570962148861e-10,"7","SPINK1"
3.62308013097001e-22,3.30530752022582,0.948,0.744,8.75082544033188e-18,"7","IBSP"
3.52179245984918e-07,2.85956231445188,0.362,0.139,0.00850618532827373,"7","LOC102723505"
2.43397982364025e-11,2.75909257984292,0.328,0.08,5.87879146803829e-07,"7","FICD"
0.00025301706260261,2.75160565564202,0.293,0.135,1,"7","MCF2L2"
4.69934762998369e-49,11.4420800821072,0.25,0.004,1.13503343306996e-44,"8","ACKR1"
6.53206366285713e-21,9.25099992855522,0.341,0.039,1.57768933648988e-16,"8","DNASE1L3"
4.5838524151636e-41,9.23211587779807,0.25,0.006,1.10713787383446e-36,"8","VWF"
4.17539194779041e-21,9.08262507235103,0.25,0.02,1.00848241714982e-16,"8","PCAT19"
2.72993946809526e-14,8.7501104180421,0.295,0.044,6.59362279729047e-10,"8","FABP4"
4.02910444125322e-79,8.72351039514473,0.636,0.029,9.7314959569589e-75,"8","CXCL12"
5.922950184441e-57,8.61256198319818,0.364,0.01,1.43057015804803e-52,"8","LOC643733"
1.04021305379992e-07,8.59738982851171,0.295,0.083,0.00251242658884294,"8","HLA-DRA"
9.28355899019079e-35,8.5397986000418,0.409,0.031,2.24225800290078e-30,"8","SFRP2"
7.38416952867543e-61,8.53609559964096,0.25,0.002,1.78349846626098e-56,"8","PODN"
