"","GSM3316962","GSM3316963","GSM3316964","GSM3316965","GSM3316966","GSM3316967","GSM3316968","GSM3316969","GSM3316970","GSM3316971","GSM3316972","GSM3316973","GSM3316974","GSM3316975","GSM3316976","GSM3316977","GSM3316978","GSM3316979","GSM3316980","GSM3316981","GSM3316982","GSM3316983","GSM3316984","GSM3316985"
"AARD",7.73039413178943,7.4586908079343,7.5685904568737,7.54670164721027,6.89930796869662,7.32537861522813,7.51156847092033,6.6309143090826,7.43055108060064,7.44945075042031,7.05773339095494,7.41406537390665,7.86517963537169,7.74084161956609,5.48496570029514,7.82381713183003,7.62885581917336,7.78876393237428,4.5944230473444,7.67026528782385,7.47492154378711,7.38301580715506,7.46985541927979,7.28560775617484
"AARS",8.00980616639254,7.65178882448875,8.25763477732118,9.54983288080422,9.44104615746316,9.2370577418934,9.72668282329075,10.0309943193555,7.90987045520907,9.87789234968002,10.8752124264147,9.30043940076111,8.83310769961143,8.33347402690795,12.4461585380036,8.12067101311555,8.97158740906176,9.63110858718329,12.331057812127,8.36057298469868,8.4545267343055,9.43356649221246,7.70436426976878,9.48799273502429
"AARS2",7.77398536611152,7.75245090917692,8.0621234764971,7.47492154378711,8.19141747328953,7.64692062065984,7.68160600598433,7.73511254293375,7.76580191169326,7.77251482149657,7.76706555930772,7.42749144806281,7.9286399758529,7.93156132285416,9.4566642988554,7.82346064927482,8.04191242295316,7.12900323698218,9.57315690901999,6.96366516628362,7.53321405677933,7.31172213835652,7.5199849796034,8.10750604793452
"AASDH",10.2087712948545,9.99900628619191,10.2997230366722,10.2055735539926,9.90628746257919,9.91988686801813,10.8695839157826,9.91670582839416,9.79855492104429,9.80064042696835,9.6153808530241,9.98668754718188,9.57690998119576,9.87582442480733,9.3587556777247,9.81756230316757,9.33808398752554,9.23170615940599,10.0132326947226,9.77607653454797,9.93863405178274,9.69385495979985,9.7431356918644,9.41089322359335
"AASDHPPT",6.07918691348302,4.88236045722994,6.27439005820395,6.76250166267461,5.56875373113059,5.6065845073381,7.19606117779831,7.25152874214194,6.68878973371747,6.33655257629358,6.59613614295343,5.84247272592806,4.72711103765768,4.72228141599282,9.65762851791698,6.76072242911404,7.32680618718158,6.26701694093119,9.22357781324784,6.7353332012269,7.0410521976735,6.3576121479265,5.36605358967733,6.79590923179133
"AASS",8.59020556000885,8.12084478864586,8.91408145249164,8.68165498685957,9.41329293096737,9.11253210715893,10.0585606301322,9.14216342926465,9.06881340283512,9.0805647778231,9.62386038099845,9.22916402379061,9.06609750952845,6.25898284425417,11.4407827297535,7.60413259292946,9.90898630072847,8.69938412332091,11.9269273635755,7.2518305691832,8.03152610626442,9.21713845491817,8.70704288656441,8.82529263233062
"AATBC",12.620509509465,13.3067526895169,12.6721704301848,12.8810620732367,12.7437107393598,13.2178427679977,12.9394432453032,12.5468703048349,13.6010294094588,12.8770766957579,12.7970553685343,12.6811507891955,13.5291092473123,13.5271110219136,11.4590815159748,13.1620255290746,13.0200641723896,14.1851722938901,11.6674571559798,12.8564710545122,12.4315104750603,12.7744661688963,12.6166977440366,12.9030061528298
"AATF",8.478839829538,9.09503482985106,8.96633046206359,9.43601346605781,9.3185167767584,9.26950104774588,9.28120538001843,9.37118262244746,9.44548806121081,9.15855742108478,9.94540764044262,9.5188794446694,10.1556259550017,9.52769007503105,11.3137987478549,8.45512967652918,9.74718729468936,9.80004632284061,10.5999169237825,9.18183959976296,9.71053224812786,9.22459050540874,9.56691261530263,9.12844906318097
"AATK",13.5200645097594,14.1845111654023,13.8851739976363,14.2827636932439,13.867899733385,14.342347554185,13.9828597398476,13.518512072761,14.1786973243571,13.9111765605423,14.042337213413,13.8423045089699,14.4366420446949,14.3510072205423,12.6023260945545,13.8722602970043,14.0019902322275,14.7114154365331,13.0261527318995,13.867899733385,13.5807558887177,13.7903873734845,13.1242048035202,14.3291678438348
"AATK-AS1",11.7001205868291,12.0072067098074,11.7421421165252,11.7537369019386,11.373041413193,11.8573958880681,11.5026041532092,11.2869613457573,11.8094475984498,11.8164189548324,11.5162723934693,11.6930830345004,11.8114205044763,11.9237058889175,9.43496876628509,11.6779625436781,11.4088869090957,11.8128427134581,9.65217457971691,11.8247731084879,11.561029504574,11.4927484654184,11.0921973144459,11.7847864117459
