"","GSM1248759","GSM1248760","GSM1248761","GSM1248762","GSM1248763","GSM1248764","GSM1248765","GSM1248766","GSM1248767","GSM1248768","GSM1248769","GSM1248770","GSM1248771","GSM1248772","GSM1248773","GSM1248774","GSM1248775","GSM1248776","GSM1248777","GSM1248778","GSM1248779","GSM1248780","GSM1248781","GSM1248782","GSM1248783","GSM1248784","GSM1248785","GSM1248786","GSM1248787","GSM1248788","GSM1248789","GSM1248790","GSM1248791","GSM1248792","GSM1248793","GSM1248794","GSM1248795","GSM1248796","GSM1248797","GSM1248798","GSM1248799","GSM1248800","GSM1248801","GSM1248802","GSM1248803","GSM1248804","GSM1248805","GSM1248806","GSM1248807","GSM1248808"
"AA412392",5.65461556461529,6.39370127786352,5.22468065757994,6.03926610462642,5.44379016381036,4.36406035964553,4.89546659949993,5.69123526308548,5.6306344013512,5.57383126749474,5.02349160714663,5.26854820570436,5.16319843162927,5.07253759123029,5.29505152018347,5.49516924578199,5.45989263646527,5.24281578779214,5.57432474386151,5.12976750090233,5.5633852460412,6.0306696415884,5.6249571042406,5.71862348918296,5.82266435268015,6.04484082405073,5.24083345147626,4.49830734003387,5.17890322334816,5.25744899587102,5.0396776748427,5.70549325303291,5.61589283395544,5.89925244252104,6.25220373081401,5.6483650413253,5.46845352982364,5.33445006510895,5.37979678664396,5.75326774952372,5.39909549487447,5.56013923818934,5.89309503364415,5.13449465208863,6.23307928969049,6.09873050857288,5.07657082353477,6.03190010147084,5.37417489296232,6.18859687237797
"AA489744",7.23609909642819,7.14723372271714,6.54483954969292,7.17676825535911,6.93359355296085,5.84939397428872,6.92120136053346,6.80776779912977,6.39875342237919,6.71737312635821,6.54896909580922,6.35530672808469,6.16995844651078,6.24962086377416,6.39412349872701,6.68197472678188,6.69891125214157,6.48968359665593,6.34691078248705,6.07327468282958,6.9432851773482,7.46725147976122,6.4957600278538,7.30806121037845,6.64000548236656,6.86833690422089,6.12571742881203,7.03703695049075,5.78677534510669,6.28796051516727,6.71364667407648,7.32216281875454,7.15423530840042,7.40552919537739,7.31537642390168,7.40113331614753,7.38756371454389,6.74658756053467,6.96001100976141,7.22619320771733,6.69842392450379,6.76454603183794,7.55448586138539,6.26589455456167,7.95549098033233,7.25026602610997,6.89663076461973,5.87114044198996,6.33033296600068,7.33009333368998
"AA496144",2.8957709299693,6.53995188980732,3.30145855497447,3.89317097276285,2.66443753653221,3.00673901808241,3.98272511835927,3.0246787942159,3.26047862864627,2.84216990488252,3.12175275855454,3.77688468560153,2.92823155916902,3.77515310664043,3.35311220579037,3.44485787766339,3.90723212541206,3.68181081964528,3.90049663105203,3.81186308224821,3.19499133115115,3.90324632075374,3.3799512513041,3.99242697889333,4.26340523336429,3.65158496397296,3.78127555359021,3.80300578698438,3.37702836032092,3.31685492266464,3.01370132445353,3.06303144730912,2.13169120548198,4.00075403062452,3.41958884752306,3.89266504761303,3.77638079497295,3.2265283070679,2.91469634820917,4.08837327321725,2.90761212919454,3.24506640067445,3.6992059139144,3.12234889235108,3.95618515348255,4.85557342978856,4.09100853551853,4.59981105915975,2.94708664132703,3.60688056478856
"AA593742",7.88345030669306,8.54718328229509,7.06554465956279,7.23045844347256,7.65764362688737,7.6854554261105,8.04440320639436,7.47980402460817,7.5509565501611,7.67834132879835,7.40833855171772,7.26763982750731,7.06679551624192,6.97817276467083,6.75136406631119,7.40310638123291,7.01372130299417,6.80176634131642,7.13285382259012,7.9324803965724,7.60040543371207,8.29219676759189,7.1267418540639,7.66404594764931,7.38067106755249,7.65635369356889,6.97176096483955,6.95401766949227,7.24744262883611,7.79511194253895,7.7488972826971,7.68105834798835,7.59650435576763,7.60430474406472,7.9970575692873,7.59935192713719,7.79481767822378,8.01149879307685,7.72841063099042,7.49402757921388,7.43384890417252,6.5157833963329,8.07621047809355,7.26680853969297,7.97070327085568,8.15177527501922,7.38188705436311,7.7611337719468,7.68589981655963,9.08339072323583
"AA627135",10.2023850222423,10.3310184841463,10.4309703671252,10.4021797239623,10.5757449534281,10.4963511625384,10.5745464346564,10.8213114953821,11.1186654578109,10.6453940981951,10.5361537982259,10.7731119487313,10.7944816209572,10.3700455914381,9.9370719852535,10.6442439174296,10.7076382734548,10.6813378623707,10.6558710221854,10.6889592624336,10.162159647636,10.4785837312712,10.5435184792216,10.0406506850914,10.1202414229777,10.9163603971042,10.1078095806681,10.0213700509167,10.2407403739094,10.4197483002852,10.5121239248961,10.3013882674833,10.793165113766,10.5913795667219,10.7022224993964,10.5705947278765,10.7395913262068,10.7596438386976,10.6121244305461,9.79222193313623,10.6892464999433,9.63707148684948,10.9730201006269,10.7978632005794,10.260676862685,10.4515503111392,10.6948626938585,10.5173076066532,10.4247432695322,11.4156109167173
"AAA1",4.67803423095928,4.64254390083649,3.73297225099808,4.45740761126676,5.01209758186789,4.79613442961216,4.70811591004605,3.75621451049971,4.12743398529829,4.88681962198483,4.58728155959273,3.74057419838783,3.63420301365057,3.35989958203728,3.82768104647702,3.73111078495663,3.97106137163002,3.63832164384737,4.18605825894644,3.68570369235644,4.3008124723861,4.72852463942304,4.39021321617101,4.43304467761818,3.58247592169276,4.18898090102455,4.23983144322655,4.45422652599464,4.66630506787896,4.67039226659464,4.85088430679127,4.31721881516912,4.56133669604887,4.61016115335733,4.44714627459802,4.697568693328,4.00023598076247,4.18171044308823,4.71439296009246,4.56438840038974,4.13795085884647,4.31059992954093,4.96444823459151,1.95508526962073,4.07281412930695,3.42266206661811,4.89724209138714,4.62731564052282,4.92794429583433,5.35704366302252
"AAAS",9.95950270999037,10.1182984577858,10.0428532787895,10.1626960433084,9.80565058005184,9.31775888901573,9.77867574706985,10.0997182074746,10.3179745603686,9.67044161200177,9.99030816268876,9.93487850501825,10.230758910918,10.2920179602809,10.368034081172,10.1415340867869,9.99292278974657,10.2535776953841,10.6787665353317,10.6351758854111,10.9849818353961,10.7683940234257,10.4306783024437,10.1482492356285,9.64219359540639,9.68625127130048,10.3202002883855,10.5479517993865,10.2401794757516,9.98666532126428,10.1810400480167,10.2442373391487,10.2056673960797,9.91153377161143,10.2983753036141,10.1616466996147,10.5824227343295,10.0122725592914,10.7083383431011,10.4916899197618,10.7564461751513,10.8926295296959,10.4452692689504,10.2999700058918,9.6178342029549,9.6126463274602,10.2236130267487,10.5348402568731,10.1868379371622,9.72740317004126
"AACS",11.5983380616384,11.7362918186921,9.72201526350103,9.91002287347165,9.84105476917222,11.4283025394971,11.5877806651121,9.40180796147571,9.75737493036965,9.81427181138717,9.94996973692782,9.51290107915956,9.94107128886797,9.89350364170329,9.63250034480069,9.90451886438457,9.48943725836261,10.0100938002288,10.1995927933703,9.92939245490534,9.99110336334204,9.56753017914373,10.1060224393133,9.77121118887051,9.1283460520149,8.95320002131878,10.1431441887403,10.0595316044312,10.1319798095133,10.1301947641738,9.9984610979776,10.2168415816143,9.61946960798779,9.73348484336627,10.0209883643203,10.0209883643203,10.1183535643635,9.25775071261614,9.95650563350705,10.2436596829757,10.2368503369105,10.2442373391487,10.0433893708333,9.63731377027488,9.24128174819896,9.19154515668063,9.65512613282431,10.0845339833034,10.0592604736392,10.0308705604306
"AACSP1",3.70938623352933,4.46007199633499,4.99320473976882,3.12101109351851,3.51383797473495,2.19225581907274,4.2581267564677,4.47186831035956,3.73434745626966,3.16452918359231,4.32312747972861,3.85150278824992,4.05610293155818,4.50919263825542,4.00177718284019,4.331028694644,4.53936875675537,4.331028694644,4.36313767549622,4.8286261728132,4.864315822778,4.36573849275415,3.98119255155064,3.83290922498099,4.39986689630028,4.14712639934159,4.4329826203025,4.78100878250473,4.39620875511076,4.24119556561901,4.37297741395053,2.86187566571126,3.55099678249037,3.32151158948288,4.54958146643014,3.90049663105203,4.75487218574654,4.66562521696522,4.85013105362362,4.06963355505453,3.89023123001085,4.28653800341835,3.73248114270621,3.72334938514692,5.10904926864717,5.19432336462731,4.27317299652503,4.13892165768022,4.26241000915663,3.94069721183518
"AADAC",4.79215719039918,5.21540441506891,3.85617412832416,4.7572275560042,5.2614543139645,4.38714438539507,5.22575692014156,4.46896383147932,4.5972430080568,5.13456216922182,4.97454124201722,4.42600134274964,4.50637255206655,4.0393635396323,4.06703295205797,4.09266380697272,4.37487832499581,3.38692451944069,4.1192372599498,3.75491673781434,4.17540157650104,4.22592847383117,4.16215212515604,4.67837295417468,4.91115265178976,4.32039391257101,4.37011015692419,4.36435727597875,3.69236832614174,4.83416315412779,4.92160879532395,4.65689679903682,4.64901351931707,5.01705979627617,4.98919969129633,4.42430902444723,3.507061048948,4.35533810168326,3.90261707711356,4.60597893735766,3.97982024202674,4.33778936312773,4.74143236555993,4.15506903670367,5.24791734639265,5.31288426227238,4.42160941409962,3.89918565583355,4.47601825921936,5.09626607071375
